"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","gene_id"
"ENSMUSG00000022771.11",1855.13089409987,1.00254089225872,0.352881613134708,0.00236232849944984,0.00877419259881497,"Ppil2","ENSMUSG00000022771"
"ENSMUSG00000022773.12",115.298781166804,-6.31294436963004,1.20461997438394,7.57954635052793e-08,6.71344286026291e-07,"Ypel1","ENSMUSG00000022773"
"ENSMUSG00000022774.8",585.393538404015,-0.952579470818425,0.401133956273836,0.00950750829114148,0.0290799297254207,"Ncbp2","ENSMUSG00000022774"
"ENSMUSG00000022783.7",34.2823867359316,-0.839938288415259,1.62010778876831,0.00614796885621109,0.0199534343288281,"Spag6l","ENSMUSG00000022783"
"ENSMUSG00000022789.10",2647.95776096635,-0.948319450178838,0.274742865236296,0.00035987339345924,0.0016617882500227,"Dnm1l","ENSMUSG00000022789"
"ENSMUSG00000022791.12",2184.46835499653,3.7771650973008,0.40944201809459,2.62345618568794e-21,5.65927967798254e-20,"Tnk2","ENSMUSG00000022791"
"ENSMUSG00000022797.11",128020.541957819,6.65783642726362,0.195234293728624,4.72586843848094e-256,4.63513176446211e-253,"Tfrc","ENSMUSG00000022797"
"ENSMUSG00000022800.9",878.548620410893,-1.18808534574081,0.544755104382212,0.0112856604713191,0.0336102503753132,"Fyttd1","ENSMUSG00000022800"
"ENSMUSG00000022803.8",195.370320502853,5.21919603679876,1.36762668363495,4.89192962805775e-06,3.31812211562866e-05,"Popdc2","ENSMUSG00000022803"
"ENSMUSG00000022808.4",1583.53875369781,-1.22124266402914,0.324604056689001,7.16165425074592e-05,0.000385801015514368,"Snx4","ENSMUSG00000022808"
"ENSMUSG00000022812.9",3769.87288826695,0.731058169467634,0.24157885639825,0.00173402871268034,0.0067227109061673,"Gsk3b","ENSMUSG00000022812"
"ENSMUSG00000022814.6",2219.5920827618,-1.21891304075918,0.242176309902334,2.10127253933481e-07,1.76348668560717e-06,"Umps","ENSMUSG00000022814"
"ENSMUSG00000022816.7",138.195456941181,-1.45576401464884,0.820334336007643,0.0176447644635696,0.0486959165641747,"Fstl1","ENSMUSG00000022816"
"ENSMUSG00000022822.11",2129.07070297572,2.16149611285522,0.305481724679619,2.79113884857213e-13,4.02457201034197e-12,"Abcc5","ENSMUSG00000022822"
